Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Stress Intensity (MPa)
2023	4400.	1100.	0.	3.6917e-004
2024	4400.	3300.	0.	2.3717e-004
2025	4300.	600.	0.	2.8547e-004
2026	4400.	800.	0.	3.5097e-004
2027	4400.	700.	0.	3.363e-004
2028	4200.	600.	0.	2.6382e-004
2029	4100.	800.	0.	2.7807e-004
2030	4100.	1000.	0.	3.0277e-004
2031	4100.	1200.	0.	3.2024e-004
2032	4100.	1300.	0.	3.2686e-004
2033	4100.	1400.	0.	3.3246e-004
2034	4100.	1600.	0.	3.4168e-004
2035	4100.	1800.	0.	3.4939e-004
2036	4100.	1900.	0.	3.5293e-004
2037	4100.	2000.	0.	3.5629e-004
2038	4100.	2200.	0.	3.6246e-004
2039	4100.	2300.	0.	3.6515e-004
2040	4100.	2400.	0.	3.6744e-004
2041	4100.	2500.	0.	3.6922e-004
2042	4100.	2600.	0.	3.703e-004
2043	4100.	2800.	0.	3.6947e-004
2044	4100.	2900.	0.	3.6694e-004
2045	4100.	3000.	0.	3.6242e-004
2046	4100.	3100.	0.	3.5536e-004
2047	4100.	3200.	0.	3.4501e-004
2048	4100.	3300.	0.	3.3042e-004
2049	4300.	3400.	0.	2.4191e-004
2050	4400.	3400.	0.	2.1322e-004
2051	4400.	600.	0.	3.1506e-004
2052	4100.	600.	0.	2.4899e-004
2053	4100.	3400.	0.	3.1043e-004
2054	4400.	3500.	0.	1.8591e-004
2055	4500.	3400.	0.	1.876e-004
2056	4500.	3300.	0.	2.112e-004
2057	4500.	3100.	0.	2.5133e-004
2058	4500.	2900.	0.	2.8299e-004
2059	4500.	2800.	0.	2.9606e-004
2060	4500.	2700.	0.	3.0751e-004
2061	4500.	2500.	0.	3.262e-004
2062	4500.	2400.	0.	3.3375e-004
2063	4500.	2300.	0.	3.4032e-004
2064	4500.	2200.	0.	3.4604e-004
2065	4500.	2100.	0.	3.5107e-004
2066	4500.	1900.	0.	3.5962e-004
2067	4500.	1700.	0.	3.6699e-004
2068	4500.	1500.	0.	3.7394e-004
2069	4500.	1400.	0.	3.7732e-004
2070	4500.	1300.	0.	3.8056e-004
2071	4500.	1200.	0.	3.8344e-004
2072	4500.	1100.	0.	3.8562e-004
2073	4500.	900.	0.	3.8525e-004
2074	4500.	800.	0.	3.8054e-004
2075	4500.	700.	0.	3.7059e-004
2076	4500.	600.	0.	3.5298e-004
2077	4400.	500.	0.	2.8662e-004
2078	4300.	500.	0.	2.6094e-004
2079	4000.	600.	0.	2.3959e-004
2080	4200.	500.	0.	2.4561e-004
2081	4100.	500.	0.	2.379e-004
2082	4000.	700.	0.	2.4903e-004
2083	4000.	800.	0.	2.6059e-004
2084	4000.	900.	0.	2.7236e-004
2085	4000.	1100.	0.	2.9325e-004
2086	4000.	1200.	0.	3.0198e-004
2087	4000.	1300.	0.	3.097e-004
2088	4000.	1400.	0.	3.166e-004
2089	4000.	1600.	0.	3.2873e-004
2090	4000.	1800.	0.	3.3969e-004
2091	4000.	1900.	0.	3.4498e-004
2092	4000.	2000.	0.	3.5021e-004
2093	4000.	2200.	0.	3.6051e-004
2094	4000.	2300.	0.	3.6551e-004
2095	4000.	2400.	0.	3.7031e-004
2096	4000.	2500.	0.	3.7481e-004
2097	4000.	2600.	0.	3.7885e-004
2098	4000.	2800.	0.	3.8471e-004
2099	4000.	2900.	0.	3.8594e-004
2100	4000.	3000.	0.	3.8547e-004
2101	4000.	3200.	0.	3.768e-004
2102	4100.	3500.	0.	2.8366e-004
2103	4000.	3400.	0.	3.5086e-004
2104	4200.	3500.	0.	2.4609e-004
2105	4300.	3500.	0.	2.1381e-004
2106	4500.	3500.	0.	1.6156e-004
2107	4500.	500.	0.	3.2501e-004
2108	4000.	500.	0.	2.3535e-004
2109	4000.	3500.	0.	3.2737e-004
2110	4600.	3400.	0.	1.6457e-004
2111	4600.	3300.	0.	1.8739e-004
2112	4600.	3200.	0.	2.0851e-004
2113	4600.	3100.	0.	2.2791e-004
2114	4600.	3000.	0.	2.4565e-004
2115	4600.	2900.	0.	2.6175e-004
2116	4600.	2700.	0.	2.8938e-004
2117	4600.	2500.	0.	3.1151e-004
2118	4600.	2300.	0.	3.2905e-004
2119	4600.	2200.	0.	3.3642e-004
2120	4600.	2100.	0.	3.4306e-004
2121	4600.	1700.	0.	3.6534e-004
2122	4600.	1500.	0.	3.7599e-004
2123	4600.	1300.	0.	3.8742e-004
2124	4600.	1100.	0.	3.9927e-004
2125	4600.	900.	0.	4.0877e-004
2126	4600.	800.	0.	4.1048e-004
2127	4600.	700.	0.	4.0793e-004
2128	4600.	3500.	0.	1.4007e-004
2129	4500.	400.	0.	2.8511e-004
2130	4600.	600.	0.	3.982e-004
2131	4600.	500.	0.	3.7717e-004
2132	4400.	400.	0.	2.5334e-004
2133	4300.	400.	0.	2.3805e-004
2134	4100.	400.	0.	2.352e-004
2135	4000.	400.	0.	2.4016e-004
2136	3900.	500.	0.	2.3602e-004
2137	3900.	600.	0.	2.3423e-004
2138	3900.	800.	0.	2.4639e-004
2139	3900.	900.	0.	2.5579e-004
2140	3900.	1000.	0.	2.6552e-004
2141	3900.	1100.	0.	2.7495e-004
2142	3900.	1200.	0.	2.8381e-004
2143	3900.	1300.	0.	2.9206e-004
2144	3900.	1400.	0.	2.998e-004
2145	3900.	1500.	0.	3.0713e-004
2146	3900.	1600.	0.	3.1419e-004
2147	3900.	1700.	0.	3.2111e-004
2148	3900.	1800.	0.	3.2799e-004
2149	3900.	1900.	0.	3.349e-004
2150	3900.	2000.	0.	3.4189e-004
2151	3900.	2100.	0.	3.4899e-004
2152	3900.	2200.	0.	3.5619e-004
2153	3900.	2300.	0.	3.6346e-004
2154	3900.	2400.	0.	3.7076e-004
2155	3900.	2500.	0.	3.78e-004
2156	3900.	2600.	0.	3.8506e-004
2157	3900.	2800.	0.	3.9793e-004
2158	3900.	3000.	0.	4.0724e-004
2159	3900.	3200.	0.	4.0896e-004
2160	3900.	3400.	0.	3.9507e-004
2161	3900.	3500.	0.	3.7757e-004
2162	4000.	3600.	0.	2.9375e-004
2163	4100.	3600.	0.	2.4872e-004
2164	4300.	3600.	0.	1.8104e-004
2165	4500.	3600.	0.	1.3316e-004
2166	4600.	3600.	0.	1.1401e-004
2167	4600.	400.	0.	3.3863e-004
2168	3900.	400.	0.	2.4655e-004
2169	3900.	3600.	0.	3.4857e-004
2170	4700.	3500.	0.	1.2087e-004
2171	4700.	3400.	0.	1.4369e-004
2172	4700.	3300.	0.	1.6548e-004
2173	4700.	3100.	0.	2.0565e-004
2174	4700.	2900.	0.	2.4086e-004
2175	4700.	2700.	0.	2.7085e-004
2176	4700.	2600.	0.	2.8392e-004
2177	4700.	2500.	0.	2.9578e-004
2178	4700.	2400.	0.	3.065e-004
2179	4700.	2300.	0.	3.1619e-004
2180	4700.	2200.	0.	3.2498e-004
2181	4700.	2100.	0.	3.3299e-004
2182	4700.	1900.	0.	3.4738e-004
2183	4700.	1800.	0.	3.5411e-004
2184	4700.	1700.	0.	3.6078e-004
2185	4700.	1600.	0.	3.6759e-004
2186	4700.	1500.	0.	3.7472e-004
2187	4700.	1300.	0.	3.9059e-004
2188	4700.	1100.	0.	4.0909e-004
2189	4700.	900.	0.	4.2912e-004
2190	4700.	800.	0.	4.3833e-004
2191	4700.	700.	0.	4.4529e-004
2192	4700.	400.	0.	4.1607e-004
2193	4500.	300.	0.	2.3837e-004
2194	4400.	300.	0.	2.2554e-004
2195	4300.	300.	0.	2.2751e-004
2196	4200.	300.	0.	2.3581e-004
2197	4100.	300.	0.	2.4631e-004
2198	3800.	400.	0.	2.533e-004
2199	3900.	300.	0.	2.6735e-004
2200	3800.	600.	0.	2.317e-004
2201	3800.	700.	0.	2.3122e-004
2202	3800.	800.	0.	2.351e-004
2203	3800.	900.	0.	2.4159e-004
2204	3800.	1000.	0.	2.494e-004
2205	3800.	1100.	0.	2.5773e-004
2206	3800.	1400.	0.	2.8253e-004
2207	3800.	1600.	0.	2.9851e-004
2208	3800.	1800.	0.	3.1468e-004
2209	3800.	2000.	0.	3.3163e-004
2210	3800.	2100.	0.	3.4051e-004
2211	3800.	2200.	0.	3.4968e-004
2212	3800.	2300.	0.	3.5915e-004
2213	3800.	2400.	0.	3.6887e-004
2214	3800.	2500.	0.	3.7879e-004
2215	3800.	2600.	0.	3.8885e-004
2216	3800.	2800.	0.	4.088e-004
2217	3800.	3000.	0.	4.2707e-004
2218	3800.	3100.	0.	4.3465e-004
2219	3800.	3200.	0.	4.4036e-004
2220	3800.	3400.	0.	4.4165e-004
2221	3900.	3700.	0.	3.0322e-004
2222	3800.	3600.	0.	4.1507e-004
2223	4000.	3700.	0.	2.4748e-004
2224	4100.	3700.	0.	2.0457e-004
2225	4300.	3700.	0.	1.4376e-004
2226	4500.	3700.	0.	1.0269e-004
2227	4700.	3700.	0.	7.2586e-005
2228	4700.	300.	0.	3.6314e-004
2229	3800.	300.	0.	2.7669e-004
2230	3800.	3700.	0.	3.7751e-004
2231	4800.	3500.	0.	1.0353e-004
2232	4800.	3400.	0.	1.246e-004
2233	4800.	3300.	0.	1.4521e-004
2234	4800.	3100.	0.	1.8452e-004
2235	4800.	3000.	0.	2.0296e-004
2236	4800.	2900.	0.	2.2043e-004
2237	4800.	2800.	0.	2.3684e-004
2238	4800.	2700.	0.	2.5213e-004
2239	4800.	2500.	0.	2.7924e-004
2240	4800.	2300.	0.	3.0199e-004
2241	4800.	2200.	0.	3.1193e-004
2242	4800.	2100.	0.	3.2108e-004
2243	4800.	1900.	0.	3.377e-004
2244	4800.	1800.	0.	3.4555e-004
2245	4800.	1700.	0.	3.5339e-004
2246	4800.	1600.	0.	3.6148e-004
2247	4800.	1500.	0.	3.7006e-004
